Eligmodontia typus
Hyperacrius fertilis
Arborimus longicaudus
Oligoryzomys microtis
Caryomys eva
Oligoryzomys fornesi
Akodon fumeus
Ochrotomys nuttalli
Cricetulus barabensis
Juliomys rimofrons
Juliomys pictipes
Akodon philipmyersi
Arborimus albipes
Oligoryzomys chacoensis
Cricetulus sokolovi
Caryomys inez
Akodon mimus
Thalpomys cerradensis
Thalpomys lasiotis
Abrothrix olivaceus
Abrothrix sanborni
Akodon affinis
Abrothrix andinus
Oligoryzomys fulvescens
Tscherskia triton
Phenacomys intermedius
Oligoryzomys andinus
Oligoryzomys arenalis
Oligoryzomys destructor
Oligoryzomys griseolus
Oligoryzomys magellanicus
Akodon azarae
Andalgalomys pearsoni
Akodon leucolimnaeus
Akodon albiventer
Eolagurus luteus
Deltamys kempi
Akodon lindberghi
Scolomys melanops
Scolomys ucayalensis
Oligoryzomys stramineus
Oligoryzomys moojeni
Oligoryzomys rupestris
Oligoryzomys brendae
Akodon budini
Calomys callidus
Phenacomys ungava
Calomys boliviae
Calomys hummelincki
Necromys amoenus
Akodon sanctipaulensis
Akodon boliviensis
Oligoryzomys longicaudatus
