Eligmodontia typus
Phalanger matabiru
Phalanger sericeus
Phalanger orientalis
Phalanger gymnotis
Ailurops melanotis
Petaurista elegans
Petaurista leucogenys
Aeromys tephromelas
Rheithrosciurus macrotis
Aeromys thomasi
Petaurista magnificus
Petaurista alborufus
Petaurista petaurista
Biswamoyopterus biswasi
Petaurista philippensis
Petaurista xanthotis
Eupetaurus cinereus
Petaurista nobilis
Cryptomys damarensis
Cryptomys foxi
Cryptomys kafuensis
Cryptomys ochraceocinereus
Cryptomys zechi
Cryptomys mechowi
Cryptomys darlingi
Cryptomys bocagei
Heterocephalus glaber
Hydrochoerus isthmius
Madoqua piacentinii
Madoqua saltiana
Scotorepens greyii
Chalinolobus neocaledonicus
Chalinolobus picatus
Chalinolobus tuberculatus
Eudiscopus denticulus
Harpiola grisea
Pharotis imogene
Cistugo lesueuri
Cistugo seabrae
Harpiola isodon
Arielulus aureocollaris
Arielulus torquatus
Arielulus cuprosus
Arielulus societatis
Arielulus circumdatus
Glauconycteris gleni
Histiotus macrotus
Nyctophilus timoriensis
Histiotus alienus
Histiotus montanus
Histiotus humboldti
Histiotus magellanicus
Histiotus laephotis
Glauconycteris variegata
Nyctophilus gouldi
Histiotus velatus
Scotorepens orion
Scotorepens balstoni
Philetor brachypterus
Idionycteris phyllotis
Lasiurus ega
Lasiurus borealis
Lasiurus castaneus
Harpiocephalus mordax
Harpiocephalus harpia
Lasiurus ebenus
Chalinolobus gouldii
Lasiurus blossevillii
Lasiurus egregius
Lasiurus atratus
Lasiurus xanthinus
Lasiurus pfeifferi
Lasiurus degelidus
Lasiurus minor
Lasiurus varius
Lasiurus insularis
Euderma maculatum
Scotophilus borbonicus
Scotophilus viridis
Scotophilus leucogaster
Scotophilus kuhlii
Otonycteris hemprichii
Bauerus dubiaquercus
Scotomanes ornatus
Falsistrellus tasmaniensis
Falsistrellus affinis
Falsistrellus mordax
Falsistrellus petersi
Lasiurus intermedius
Falsistrellus mackenziei
Scotophilus celebensis
Scotophilus robustus
Scotophilus nucella
Scotophilus collinus
Scotophilus tandrefana
Scotophilus marovaza
Scotophilus dinganii
Scoteanax rueppellii
Lasiurus cinereus
Scotophilus nigrita
Scotophilus nux
Scotophilus heathii
Ia io
Microcebus myoxinus
Microcebus berthae
Microcebus rufus
Microcebus sambiranensis
Microcebus lehilahytsara
Microcebus mittermeieri
Microcebus danfossorum
Microcebus jollyae
Microcebus bongolavensis
Microcebus simmonsi
Microcebus ravelobensis
Microcebus mamiratra
Microcebus tavaratra
Microcebus griseorufus
Allocebus trichotis
Rhogeessa minutilla
Vespadelus vulturnus
Tylonycteris pachypus
Rhogeessa alleni
Rhogeessa genowaysi
Rhogeessa gracilis
Rhogeessa mira
Rhogeessa hussoni
Rhogeessa io
Rhogeessa aeneus
Rhogeessa parvula
Nyctophilus walkeri
Scotoecus albofuscus
Rhogeessa tumida
Glischropus javanus
Glischropus tylopus
Phoniscus jagorii
Phoniscus atrox
Vespadelus douglasorum
Vespadelus regulus
Nycticeinops schlieffeni
Vespadelus baverstocki
Vespadelus caurinus
Vespadelus finlaysoni
Vespadelus troughtoni
Phoniscus aerosa
Vespadelus pumilus
Glauconycteris humeralis
Vespadelus darlingtoni
Laephotis wintoni
Phoniscus papuensis
Scotoecus pallidus
Laephotis angolensis
Laephotis namibensis
Scotozous dormeri
Nyctophilus arnhemensis
Glauconycteris poensis
Glauconycteris kenyacola
Laephotis botswanae
Nyctophilus microtis
Glauconycteris beatrix
Tylonycteris robustula
Scotorepens sanborni
Glauconycteris alboguttata
Glauconycteris curryae
Glauconycteris egeria
Glauconycteris machadoi
Glauconycteris superba
Scotoecus hirundo
Nyctophilus geoffroyi
Nyctophilus heran
Nyctophilus howensis
Nyctophilus microdon
Nyctophilus sherrini
Nyctophilus nebulosus
Chalinolobus dwyeri
Chalinolobus nigrogriseus
Mimetillus moloneyi
Chalinolobus morio
Nycticeius cubanus
Nycticeius aenobarbus
Nycticeius humeralis
Glauconycteris argentata
Lasiurus seminolus
Nyctophilus bifax
Petaurus biacensis
Petaurus norfolcensis
Petaurus abidi
Petaurus gracilis
Ectophylla alba
Micronycteris megalotis
Lichonycteris obscura
Mesophylla macconnelli
Micronycteris minuta
Lonchophylla thomasi
Vampyressa thyone
Hylonycteris underwoodi
Micronycteris schmidtorum
Choeroniscus godmani
Macrophyllum macrophyllum
Trinycteris nicefori
Choeroniscus periosus
Micronycteris brosseti
Micronycteris sanborni
Micronycteris matses
Micronycteris microtis
Glossophaga morenoi
Choeroniscus minor
Vampyressa pusilla
Monophyllus redmani
Lionycteris spurrelli
Glyphonycteris sylvestris
Lonchorhina orinocensis
Glossophaga commissarisi
Rhinophylla pumilio
Rhinophylla alethina
Rhinophylla fischerae
Lophostoma brasiliense
Glossophaga soricina
Phyllostomus latifolius
Vampyrum spectrum
Glossophaga leachii
Lampronycteris brachyotis
Ametrida centurio
Anoura caudifer
Sturnira mordax
Vampyressa bidens
Micronycteris hirsuta
Mimon bennettii
Glossophaga longirostris
Mimon koepckeae
Mimon cozumelae
Platyrrhinus helleri
Lonchophylla robusta
Glyphonycteris behnii
Chiroderma trinitatum
Mimon crenulatum
Lonchorhina fernandezi
Lonchorhina inusitata
Lonchophylla bokermanni
Lonchophylla dekeyseri
Lonchophylla handleyi
Lonchophylla hesperia
Lonchophylla chocoana
Lonchophylla concava
Lonchophylla orcesi
Phyllonycteris poeyi
Phyllonycteris aphylla
Platyrrhinus brachycephalus
Anoura luismanueli
Anoura fistulata
Anoura latidens
Anoura geoffroyi
Monophyllus plethodon
Lonchorhina aurita
Sturnira erythromos
Erophylla sezekorni
Sphaeronycteris toxophyllum
Uroderma bilobatum
Erophylla bombifrons
Vampyressa melissa
Enchisthenes hartii
Choeronycteris mexicana
Uroderma magnirostrum
Anoura cultrata
Lonchorhina marinkellei
Lophostoma schulzi
Sturnira bidens
Pygoderma bilabiatum
Glyphonycteris daviesi
Ardops nichollsi
Chiroderma doriae
Sturnira bogotensis
Sturnira lilium
Lophostoma evotis
Lophostoma aequatorialis
Lophostoma yasuni
Sturnira ludovici
Stenoderma rufum
Lonchophylla mordax
Sturnira oporaphilum
Leptonycteris yerbabuenae
Lophostoma carrikeri
Sturnira luisi
Sturnira magna
Sturnira nana
Sturnira thomasi
Sturnira mistratensis
Sturnira sorianoi
Ariteus flavescens
Neonycteris pusilla
Musonycteris harrisoni
Phyllops falcatus
Platalina genovensium
Xeronycteris vieirai
Centurio senex
Chiroderma villosum
Leptonycteris nivalis
Platyrrhinus lineatus
Sturnira tildae
Platyrrhinus umbratus
Leptonycteris curasoae
Platyrrhinus dorsalis
Chiroderma salvini
Tonatia saurophila
Tonatia bidens
Diphylla ecaudata
Platyrrhinus chocoensis
Platyrrhinus recifinus
Platyrrhinus albericoi
Platyrrhinus ismaeli
Platyrrhinus nigellus
Platyrrhinus matapalensis
Platyrrhinus masu
Lophostoma silvicolum
Platyrrhinus aurarius
Chiroderma improvisum
Vampyrodes caraccioli
Phyllostomus discolor
Diaemus youngi
Trachops cirrhosus
Platyrrhinus vittatus
Brachyphylla nana
Phyllostomus elongatus
Brachyphylla cavernarum
Vampyressa brocki
Scleronycteris ega
Sturnira aratathomasi
Platyrrhinus infuscus
Phylloderma stenops
Vampyressa nymphaea
Chrotopterus auritus
Phyllostomus hastatus
Craseonycteris thonglongyai
Thyroptera discifera
Furipterus horrens
Amorphochilus schnablii
Chilonatalus micropus
Chilonatalus tumidifrons
Thyroptera lavali
Thyroptera devivoi
Thyroptera tricolor
Nyctiellus lepidus
Pteronotus quadridens
Natalus stramineus
Natalus lanatus
Natalus mexicanus
Natalus espiritosantensis
Natalus major
Natalus primus
Natalus jamaicensis
Natalus tumidirostris
Pteronotus personatus
Mormoops blainvillei
Myzopoda schliemanni
Myzopoda aurita
Rhinopoma muscatellum
Pteronotus davyi
Cuniculus taczanowskii
Phaner furcifer
Phaner parienti
Phaner pallescens
Phaner electromontis
Dobsonia minor
Dobsonia inermis
Dobsonia beauforti
Dobsonia praedatrix
Dobsonia emersa
Dobsonia crenulata
Dobsonia peronii
Dobsonia anderseni
Dobsonia pannietensis
Dobsonia viridis
Dobsonia exoleta
Pseudochirulus herbertensis
Pseudochirops corinnae
Pseudochirops archeri
Pseudochirops coronatus
Pseudochirops cupreus
Petropseudes dahli
Myotis siligorensis
Myotis rosseti
Myotis nesopolus
Myotis elegans
Myotis fortidens
Myotis californicus
Myotis riparius
Myotis muricola
Myotis ciliolabrum
Myotis ruber
Myotis yumanensis
Myotis leibii
Myotis brandtii
Myotis keaysi
Myotis levis
Myotis goudoti
Myotis oxyotus
Myotis albescens
Myotis horsfieldii
Myotis keenii
Myotis evotis
Myotis formosus
Myotis sodalis
Myotis nattereri
Myotis macrodactylus
Myotis frater
Myotis bocagii
Myotis montivagus
Myotis thysanodes
Myotis hasseltii
Myotis occultus
Myotis aelleni
Myotis atacamensis
Myotis ater
Myotis australis
Myotis bombinus
Myotis chiloensis
Myotis cobanensis
Myotis dominicensis
Myotis fimbriatus
Myotis findleyi
Myotis hermani
Myotis ikonnikovi
Myotis insularum
Myotis longipes
Myotis martiniquensis
Myotis morrisi
Myotis oreias
Myotis peninsularis
Myotis pequinius
Myotis planiceps
Myotis pruinosus
Myotis schaubi
Myotis scotti
Myotis septentrionalis
Myotis sicarius
Myotis simus
Myotis stalkeri
Myotis csorbai
Myotis yanbarensis
Myotis gomantongensis
Myotis anjouanensis
Myotis punicus
Myotis dinellii
Myotis bucharensis
Myotis davidii
Myotis annamiticus
Myotis hajastanicus
Myotis rufopictus
Myotis laniger
Myotis nipalensis
Myotis aurascens
Myotis dieteri
Myotis alcathoe
Myotis macropus
Myotis moluccarum
Myotis melanorhinus
Myotis annectans
Callithrix penicillata
Callithrix geoffroyi
Callithrix flaviceps
Callithrix aurita
Mico emiliae
Mico mauesi
Anomalurus pelii
Rhizomys pruinosus
Rhizomys sumatrensis
Sciurus flammifer
Sciurus sanborni
Sciurus aestuans
Sciurus ignitus
Sciurus yucatanensis
Sciurus richmondi
Sciurus deppei
Sciurus lis
Sciurus granatensis
Sciurus anomalus
Sciurus spadiceus
Sciurus stramineus
Sciurus aureogaster
Sciurus alleni
Sciurus pyrrhinus
Sciurus variegatoides
Sciurus colliaei
Sciurus aberti
Sciurus arizonensis
Sciurus oculatus
Sciurus nayaritensis
Sciurus igniventris
Sciurus griseus
Sciurus gilvigularis
Sciurus pucheranii
Gazella arabica
Pedetes surdaster
Myotis capaccinii
Eonycteris robusta
Tarsius dentatus
Dobsonia chapmani
Eidolon dupreanum
Mico rondoni
Callithrix kuhlii
Saguinus tripartitus
Pteropus rufus
Saguinus leucopus
Saguinus bicolor
Saguinus niger
Marmota vancouverensis
Marmota sibirica
Rhinopithecus strykeri
Tarsius pumilus
Tarsius lariang
Tarsius tumpara
Tarsius wallacei
Tarsius sangirensis
Tarsius pelengensis
Mico intermedius
Mico chrysoleucus
Mico nigriceps
Mico marcai
Mico acariensis
Mico manicorensis
Mico saterei
Mico melanurus
Cheirogaleus adipicaudatus
Cheirogaleus sibreei
Cheirogaleus minusculus
Cheirogaleus crossleyi
Cheirogaleus ravus
Trichosurus cunninghami
Loris lydekkerianus
Pseudoryx nghetinhensis
Lagostrophus fasciatus
Ratufa indica
Ratufa affinis
Ratufa macroura
Nyctimene major
Epomops franqueti
Epomops dobsonii
Epomophorus gambianus
Epomops buettikoferi
Latidens salimalii
Neopteryx frosti
Plerotes anchietae
Mirimiri acrodonta
Pteralopex pulchra
Hypsignathus monstrosus
Pteralopex taki
Pteralopex flanneryi
Pteralopex atrata
Pteralopex anceps
Aproteles bulmerae
Lagidium viscacia
Lagidium wolffsohni
Eptesicus diminutus
Eptesicus matroka
Eptesicus bobrinskoi
Eptesicus furinalis
Eptesicus nasutus
Eptesicus pachyotis
Eptesicus brasiliensis
Eptesicus nilssonii
Eptesicus floweri
Eptesicus andinus
Eptesicus guadeloupensis
Eptesicus innoxius
Eptesicus platyops
Eptesicus tatei
Eptesicus gobiensis
Eptesicus chiriquinus
Eptesicus malagasyensis
Eptesicus japonensis
Eptesicus kobayashii
Eptesicus dimissus
Eptesicus bottae
Eptesicus serotinus
Eptesicus hottentotus
Callibella humilis
Saguinus melanoleucus
Saguinus martinsi
Saguinus labiatus
Saguinus inustus
Myotis adversus
Myotis altarium
Myotis tricolor
Myotis welwitschii
Myotis vivesi
Myotis auriculus
Myotis chinensis
Macropus bernardus
Myotis blythii
Nycticebus menagensis
Leontopithecus chrysomelas
Nycticebus javanicus
Nycticebus bengalensis
Tragelaphus derbianus
Ovis nivicola
Dinomys branickii
Hystrix pumila
Hystrix sumatrae
Hystrix crassispinis
Hystrix brachyura
Hystrix cristata
Hystrix indica
Hystrix javanica
Trichys fasciculata
Atherurus macrourus
Atherurus africanus
Rhinolophus megaphyllus
Rhinolophus philippinensis
Rhinolophus adami
Rhinolophus borneensis
Rhinolophus canuti
Rhinolophus celebensis
Rhinolophus clivosus
Rhinolophus cognatus
Rhinolophus creaghi
Rhinolophus deckenii
Rhinolophus guineensis
Rhinolophus hildebrandti
Rhinolophus maclaudi
Rhinolophus mitratus
Rhinolophus nereis
Rhinolophus osgoodi
Rhinolophus rex
Rhinolophus rufus
Rhinolophus silvestris
Rhinolophus subbadius
Rhinolophus subrufus
Rhinolophus beddomei
Rhinolophus convexus
Rhinolophus sinicus
Rhinolophus hillorum
Rhinolophus maendeleo
Rhinolophus ruwenzorii
Rhinolophus sakejiensis
Rhinolophus ziama
Rhinolophus montanus
Rhinolophus madurensis
Rhinolophus shortridgei
Rhinolophus formosae
Rhinolophus siamensis
Rhinolophus pearsonii
Rhinolophus acuminatus
Rhinolophus capensis
Rhinolophus fumigatus
Rhinolophus hilli
Rhinolophus inops
Rhinolophus affinis
Rhinolophus euryotis
Rhinolophus bocharicus
Rhinolophus trifoliatus
Rhinolophus alcyone
Rhinolophus eloquens
Rhinolophus yunanensis
Rhinolophus luctus
Plecotus austriacus
Plecotus taivanus
Plecotus teneriffae
Plecotus balensis
Plecotus christii
Plecotus macrobullaris
Plecotus sardus
Plecotus ognevi
Plecotus sacrimontis
Galeopterus variegatus
Cynocephalus volans
Nycticebus pygmaeus
Aotus miconax
Aotus brumbacki
Aotus lemurinus
Saimiri ustus
Aotus griseimembra
Callicebus oenanthe
Callicebus caquetensis
Callicebus ornatus
Callicebus melanochir
Callicebus nigrifrons
Callicebus medemi
Callicebus personatus
Eulemur rubriventer
Eulemur flavifrons
Eulemur rufifrons
Eulemur collaris
Eulemur albifrons
Callicebus aureipalatii
Callicebus barbarabrownae
Callicebus coimbrai
Callicebus pallescens
Callicebus discolor
Callicebus stephennashi
Callicebus baptista
Callicebus bernhardi
Callicebus lugens
Callicebus lucifer
Callicebus purinus
Callicebus regulus
Callicebus hoffmannsi
Callicebus cupreus
Callicebus torquatus
Rhinolophus marshalli
Rhinolophus pusillus
Rhinolophus lepidus
Rhinolophus virgo
Rhinolophus macrotis
Rhinolophus keyensis
Rhinolophus denti
Rhinolophus malayanus
Rhinolophus coelophyllus
Rhinolophus swinnyi
Rhinolophus stheno
Rhinolophus simulator
Rhinolophus paradoxolophus
Rhinolophus thomasi
Rhinolophus robinsoni
Rhinolophus sedulus
Rhinolophus darlingi
Rhinolophus arcuatus
Rhinolophus landeri
Rhinolophus shameli
Pteropus neohibernicus
Pteropus vampyrus
Pteropus woodfordi
Pteropus personatus
Pteropus vetulus
Pteropus pumilus
Pteropus fundatus
Pteropus ocularis
Pteropus howensis
Pteropus lombocensis
Pteropus nitendiensis
Pteropus mahaganus
Pteropus admiralitatum
Pteropus samoensis
Pteropus aldabrensis
Pteropus leucopterus
Pteropus pohlei
Pteropus macrotis
Pteropus scapulatus
Pteropus anetianus
Pteropus gilliardorum
Pteropus hypomelanus
Pteropus pselaphon
Pteropus melanotus
Pteropus argentatus
Pteropus faunulus
Pteropus griseus
Pteropus insularis
Pteropus molossinus
Pteropus speciosus
Pteropus temminckii
Pteropus tuberculatus
Pteropus loochoensis
Pteropus yapensis
Pteropus capistratus
Pteropus pelewensis
Pteropus cognatus
Pteropus aruensis
Pteropus keyensis
Pteropus ualanus
Pteropus rennelli
Pteropus intermedius
Pteropus mariannus
Pteropus niger
Pteropus seychellensis
Pteropus caniceps
Pteropus voeltzkowi
Pteropus tonganus
Pteropus alecto
Pteropus rayneri
Pteropus chrysoproctus
Pteropus livingstonii
Pteropus conspicillatus
Pteropus melanopogon
Mesocapromys nanus
Mesocapromys angelcabrerai
Mesocapromys auritus
Mesocapromys sanfelipensis
Sphiggurus pruinosus
Sphiggurus vestitus
Sphiggurus spinosus
Echinoprocta rufescens
Sphiggurus insidiosus
Sphiggurus roosmalenorum
Sphiggurus ichillus
Chaetomys subspinosus
Sphiggurus villosus
Sphiggurus melanurus
Sphiggurus mexicanus
Coendou rothschildi
Coendou nycthemera
Coendou sanctamartae
Coendou quichua
Coendou bicolor
Equus africanus
Aotus nigriceps
Aotus nancymaae
Aotus vociferans
Aotus jorgehernandezi
Aotus zonalis
Aotus azarae
Leontopithecus caissara
Leontopithecus chrysopygus
Eulemur macaco
Eulemur cinereiceps
Eulemur sanfordi
Eulemur rufus
Callicebus brunneus
Callicebus donacophilus
Callicebus dubius
Callicebus olallae
Callicebus modestus
Callicebus caligatus
Callicebus cinerascens
Rhinolophus euryale
Rhinolophus blasii
Rhinolophus mehelyi
Hapalemur occidentalis
Prolemur simus
Pithecia albicans
Cercopithecus sclateri
Cercopithecus erythrotis
Cercopithecus erythrogaster
Procolobus verus
Cercopithecus preussi
Lophocebus aterrimus
Cercocebus atys
Macaca thibetana
Hapalemur meridionalis
Hapalemur aureus
Hapalemur alaotrensis
Varecia rubra
Phocoena spinipinnis
Phocoena dioptrica
Lasiorhinus krefftii
Saimiri oerstedii
Saimiri vanzolinii
Saimiri boliviensis
Pithecia monachus
Pithecia irrorata
Pithecia aequatorialis
Lontra longicaudis
Cercocebus agilis
Cercocebus sanjei
Cercocebus chrysogaster
Delphinus capensis
Propithecus candidus
Propithecus perrieri
Dendrolagus lumholtzi
Dendrolagus spadix
Dendrolagus mayri
Avahi occidentalis
Avahi unicolor
Avahi peyrierasi
Avahi betsileo
Avahi laniger
Avahi meridionalis
Avahi ramanantsoavanai
Avahi cleesei
Pteropus ornatus
Acerodon jubatus
Plagiodontia aedium
Mysateles melanurus
Mysateles meridionalis
Mysateles prehensilis
Chiropotes albinasus
Chiropotes utahickae
Chiropotes satanas
Cacajao hosomi
Propithecus deckenii
Propithecus coquereli
Propithecus coronatus
Cercopithecus lhoesti
Cercopithecus hamlyni
Presbytis siamensis
Presbytis frontata
Presbytis hosei
Presbytis melalophos
Propithecus diadema
Propithecus edwardsi
Presbytis chrysomelas
Presbytis femoralis
Alouatta pigra
Colobus vellerosus
Dendrolagus goodfellowi
Dendrolagus pulcherrimus
Trachypithecus geei
Procolobus preussi
Dendrolagus dorianus
Procolobus pennantii
Colobus satanas
Dendrolagus mbaiso
Dendrolagus notatus
Dendrolagus stellarum
Dendrolagus scottae
Semnopithecus hypoleucos
Dendrolagus inustus
Dendrolagus ursinus
Papio papio
Arctocephalus galapagoensis
Phocoena sinus
Arctocephalus philippii
Arctocephalus townsendi
Zalophus wollebaeki
Phocarctos hookeri
Rhinopithecus avunculus
Mysateles garridoi
Mysateles gundlachi
Chiropotes chiropotes
Cacajao melanocephalus
Cacajao ayresi
Procolobus rufomitratus
Procolobus kirkii
Procolobus gordonorum
Dendrolagus bennettianus
Rhinopithecus brelichi
Semnopithecus ajax
Semnopithecus dussumieri
Semnopithecus hector
Semnopithecus priam
Semnopithecus schistaceus
Procolobus badius
Colobus angolensis
Bradypus pygmaeus
Bradypus variegatus
Bradypus tridactylus
Bradypus torquatus
Cercopithecus dryas
Cercopithecus petaurista
Cercopithecus mona
Cercopithecus solatus
Alouatta guariba
Alouatta nigerrima
Alouatta juara
Alouatta arctoidea
Alouatta puruensis
Alouatta sara
Alouatta macconnelli
Trachypithecus barbei
Trachypithecus delacouri
Presbytis natunae
Presbytis rubicunda
Presbytis comata
Cyclopes didactylus
Trachypithecus germaini
Alouatta ululata
Alouatta discolor
Trachypithecus phayrei
Macaca leonina
Indri indri
Trachypithecus poliocephalus
Trachypithecus laotum
Trachypithecus hatinhensis
Pygathrix nemaeus
Trachypithecus auratus
Pygathrix cinerea
Pygathrix nigripes
Rhinopithecus bieti
Trachypithecus pileatus
Trachypithecus shortridgei
Trachypithecus johnii
Allenopithecus nigroviridis
Simias concolor
Rungwecebus kipunji
Miopithecus ogouensis
Alouatta belzebul
Kogia sima
Kogia breviceps
Cephalorhynchus heavisidii
Chlorocebus tantalus
Chlorocebus pygerythrus
Chlorocebus djamdjamensis
Chlorocebus cynosuros
Chlorocebus sabaeus
Macaca cyclopis
Macaca munzala
Macaca assamensis
Blanfordimys afghanus
Macaca ochreata
Macaca pagensis
Macaca sinica
Presbytis potenziani
Presbytis thomasi
Hoolock hoolock
Macaca siberu
Macaca nigrescens
Macaca tonkeana
Macaca hecki
Rhinopithecus roxellana
Blanfordimys bucharensis
Inia geoffrensis
Sotalia guianensis
Sotalia fluviatilis
Cephalorhynchus eutropia
Hylobates moloch
Hoolock leuconedys
Cebus macrocephalus
Cebus cay
Hylobates pileatus
Nomascus siki
Hylobates albibarbis
Hylobates klossii
Hylobates agilis
Hylobates muelleri
Ateles marginatus
Lagothrix cana
Ateles chamek
Nomascus nasutus
Nomascus leucogenys
Zaglossus bruijnii
Lagothrix lugens
Lagothrix poeppigii
Nomascus hainanus
Ateles hybridus
Nomascus gabriellae
Monachus schauinslandi
Orcaella heinsohni
Zaglossus attenboroughi
Lagenorhynchus cruciger
Lagenorhynchus australis
Lagenorhynchus obscurus
Lagenorhynchus albirostris
Cebus flavius
Cebus libidinosus
Cebus robustus
Cebus nigritus
Cebus kaapori
Cebus xanthosternos
Zaglossus bartoni
Oreonax flavicauda
Neophocaena asiaeorientalis
Neophocaena phocaenoides
Tursiops aduncus
Hyperoodon planifrons
Mesoplodon hectori
Mesoplodon ginkgodens
Mesoplodon layardii
Mesoplodon mirus
Indopacetus pacificus
Mesoplodon densirostris
Tasmacetus shepherdi
Mesoplodon bowdoini
Mesoplodon perrini
Mesoplodon peruvianus
Mesoplodon traversii
Mesoplodon grayi
Mesoplodon bidens
Mesoplodon carlhubbsi
Ziphius cavirostris
Mesoplodon stejnegeri
Mesoplodon europaeus
Thylamys citellus
Thylamys fenestrae
Thylamys pulchellus
Platanista gangetica
Lissodelphis borealis
Lissodelphis peronii
Steno bredanensis
Lagenodelphis hosei
Feresa attenuata
Brachyteles arachnoides
Brachyteles hypoxanthus
Gorilla beringei
Sousa chinensis
Grampus griseus
Sousa teuszii
Balaenoptera bonaerensis
Stenella frontalis
Stenella longirostris
Stenella clymene
Balaenoptera omurai
Pan paniscus
Pongo abelii
Eubalaena japonica
Berardius arnuxii
Caperea marginata
Trichechus senegalensis
Microtus pennsylvanicus
Myopus schisticolor
Reithrodontomys megalotis
Microtus oeconomus
Blarina brevicauda
Lemmus lemmus
Tarsipes rostratus
Dicrostonyx groenlandicus
Baiomys taylori
Sorex minutus
Mus minutoides
Rattus lutreolus
Lagurus lagurus
Thallomys paedulcus
Microtus arvalis
Crocidura russula
Saccostomus campestris
Myodes smithii
Rhabdomys pumilio
Microtus agrestis
Cricetus cricetus
Phodopus sungorus
Didelphis marsupialis
Mesocricetus brandti
Micromys minutus
Meriones unguiculatus
Rattus rattus
Psammomys obesus
Rattus fuscipes
Onychomys torridus
Myodes glareolus
Philander opossum
Rattus norvegicus
Sminthopsis crassicaudata
Sigmodon hispidus
Zapus hudsonius
Isoodon macrourus
Thomomys bottae
Apodemus sylvaticus
Mus musculus
Praomys tullbergi
Tadarida pumila
Acomys cahirinus
Proechimys guyannensis
Arvicola amphibius
Peromyscus leucopus
Cercartetus caudatus
Onychomys leucogaster
Perameles nasuta
Dipodomys merriami
Monodelphis domestica
Didelphis virginiana
Arvicanthis niloticus
Mystromys albicaudatus
Mesocricetus auratus
Taphozous georgianus
Tamias amoenus
Hydromys chrysogaster
Thryonomys swinderianus
Elephantulus rufescens
Myotis austroriparius
Saccopteryx bilineata
Ochotona collaris
Hypsiprymnodon moschatus
Microgale talazaci
Jaculus jaculus
Peromyscus maniculatus
Acrobates pygmaeus
Talpa europaea
Ptenochirus jagori
Cricetomys gambianus
Caluromys philander
Rhinolophus rouxii
Cercartetus nanus
Tamias ruficaudus
Lepus americanus
Glis glis
Bettongia lesueur
Pseudocheirus peregrinus
Mustela eversmanii
Cynopterus sphinx
Thylogale billardierii
Myocastor coypus
Ondatra zibethicus
Aepyprymnus rufescens
Lagostomus maximus
Haplonycteris fischeri
Kerodon rupestris
Geocapromys brownii
Bettongia gaimardi
Tupaia glis
Setonix brachyurus
Catagonus wagneri
Sciurocheirus alleni
Oryctolagus cuniculus
Bettongia penicillata
Nyctalus noctula
Burramys parvus
Aplodontia rufa
Gymnobelideus leadbeateri
Erinaceus europaeus
Sciurus vulgaris
Tetracerus quadricornis
Macropus parma
Ictonyx striatus
Antilocapra americana
Arctocebus calabarensis
Dolichotis patagonum
Rousettus leschenaultii
Potorous tridactylus
Galagoides demidovii
Macrotus californicus
Mungos mungo
Gazella leptoceros
Martes pennanti
Neotragus batesi
Lepilemur mustelinus
Macropus eugenii
Cephalophus rufilatus
Petrogale xanthopus
Philantomba monticola
Macropus agilis
Mirza coquereli
Tragulus napu
Ammotragus lervia
Rucervus eldii
Equus hemionus
Hipposideros fulvus
Carollia perspicillata
Suricata suricatta
Wallabia bicolor
Petrogale concinna
Tragelaphus scriptus
Galago moholi
Petaurus breviceps
Megaderma lyra
Sylvicapra grimmia
Miniopterus schreibersii
Trichosurus vulpecula
Lycaon pictus
Microcebus murinus
Marmota flaviventris
Nyctereutes procyonoides
Bassariscus astutus
Martes martes
Petauroides volans
Madoqua kirkii
Callithrix jacchus
Ourebia ourebi
Petaurus australis
Macropus rufogriseus
Galago senegalensis
Martes foina
Tarsius bancanus
Tarsius syrichta
Tarsius tarsier
Saguinus oedipus
Callimico goeldii
Gazella dorcas
Gazella gazella
Eudorcas thomsonii
Acinonyx jubatus
Damaliscus lunatus
Panthera leo
Equus grevyi
Mico argentatus
Martes americana
Caracal caracal
Tragelaphus angasii
Otolemur garnettii
Loris tardigradus
Hylochoerus meinertzhageni
Philantomba maxwellii
Nilgiritragus hylocrius
Capreolus capreolus
Ovis dalli
Cephalophus dorsalis
Cebuella pygmaea
Saguinus midas
Saguinus nigricollis
Phacochoerus aethiopicus
Trichosurus caninus
Myotis emarginatus
Nycticebus coucang
Moschus chrysogaster
Litocranius walleri
Nanger soemmerringii
Capra falconeri
Hemitragus jemlahicus
Tragelaphus imberbis
Addax nasomaculatus
Otaria flavescens
Canis latrans
Cheirogaleus medius
Rhinolophus hipposideros
Kobus kob
Ovis canadensis
Sus scrofa
Kobus leche
Aepyceros melampus
Puma concolor
Odocoileus virginianus
Odocoileus hemionus
Macropus fuliginosus
Phascolarctos cinereus
Tragelaphus spekii
Antilope cervicapra
Otolemur crassicaudatus
Sciurus carolinensis
Myotis myotis
Connochaetes gnou
Alcelaphus buselaphus
Oreamnos americanus
Oryx gazella
Ornithorhynchus anatinus
Canis lupus
Felis silvestris
Eulemur fulvus
Lemur catta
Daubentonia madagascariensis
Macaca sylvanus
Panthera tigris
Rucervus duvaucelii
Connochaetes taurinus
Boselaphus tragocamelus
Pseudois nayaur
Capra ibex
Leptailurus serval
Phocoena phocoena
Pteropus poliocephalus
Hippotragus niger
Damaliscus pygargus
Hippotragus equinus
Procavia capensis
Tragelaphus strepsiceros
Hyaena brunnea
Pecari tajacu
Macropus giganteus
Mirounga angustirostris
Saguinus fuscicollis
